question,answer
"eSim installed successfully, but it's not launching. What should I do?","If eSim is not launching, try running it through the terminal to check for any error messages. Common causes include missing dependencies (like Python, ngspice, or KiCad), incorrect installation paths, or incompatible OS versions. Reinstalling eSim using the official instructions or installing missing dependencies can usually resolve the issue."
"How do I run my first simulation in eSim after installation?","After launching eSim, start a new project. Use KiCad's Eeschema to draw your circuit schematic. Save it, then use eSim's 'Convert KiCad to Ngspice' tool to generate the netlist. Finally, run the simulation using the Ngspice interface provided within eSim. Check outputs in the waveform viewer or log terminal."
"I see an error saying 'Ngspice not found'. How can I fix this?","This error means eSim cannot detect the Ngspice installation. Ensure Ngspice is correctly installed on your system and its path is included in your system environment variables. On Linux, try installing Ngspice via the package manager (e.g., `sudo apt install ngspice`). Restart eSim after making changes."
"How can I check if eSim was installed properly?","You can verify eSim's installation by opening a demo project from the tutorial or documentation and running a basic simulation. Check if all components are visible, netlist generation works, and waveform outputs are displayed without error. This ensures your setup, libraries, and tools like Ngspice and KiCad are working correctly."
"Why are component libraries not showing up in KiCad after installing eSim?","Component libraries may not load due to incorrect library paths. Open KiCad and navigate to Preferences > Manage Symbol Libraries. Ensure that the FOSSEE component libraries are listed and correctly linked to their directory. You can re-run the configuration script provided during eSim setup to auto-link libraries."
"Simulation is not running even after creating the netlist. What could be the issue?","Common reasons include missing power or ground connections, open circuits, unrecognized components, or syntax errors in the schematic. Double-check all component connections and labels. After conversion, open the generated netlist to inspect for any errors or warnings before simulation."
"Where are the eSim project files saved on my system?","By default, eSim saves project files in your home directory under a folder named 'eSim' or 'Projects'. However, during project creation, you can select a custom location. Each project folder contains schematic files, netlists, simulation data, and configuration files necessary for your work."
"How do I update eSim to the latest version?","Visit the official eSim website and download the latest version for your operating system. On Linux systems, you can remove the old version and install the new one using updated shell scripts or `.deb` packages. Make sure to backup your existing project files before updating to prevent data loss."
"I'm getting 'permission denied' errors while running eSim. What should I do?","This usually occurs when eSim is installed in a directory requiring elevated permissions, or when user privileges are insufficient. Avoid running eSim as root. Ensure the install directory and all project files have appropriate read/write permissions for your user account using commands like `chmod` or `chown` on Linux."
"Can I import old KiCad projects into eSim after installation?","Yes. You can import existing KiCad schematics into eSim by creating a new eSim project and selecting the KiCad `.sch` file. Then use the 'Convert KiCad to Ngspice' feature to generate a netlist and simulate your circuit. Ensure your schematic uses supported components and proper wiring conventions."
"How do I configure eSim after installation?","After installation, you may need to configure library paths, simulation settings, and environment variables. Open eSim, go to the preferences/settings menu, and specify paths for KiCad, Ngspice, and user libraries if needed. On Linux, you can also run post-install configuration scripts to automate this setup."
"Is there a sample project I can use to test eSim after installation?","Yes, the eSim website and documentation provide multiple sample projects. These include basic analog and digital circuits that you can open, simulate, and analyze. Running these helps validate that your installation, component libraries, and simulation engine are functioning correctly."
"eSim GUI is slow or unresponsive. How can I fix this?","Performance issues may stem from high system load, insufficient RAM, or GPU driver problems. Close other heavy applications, update your graphics drivers, and ensure your system meets the minimum requirements. On Linux, running eSim on a lightweight desktop environment like XFCE or LXDE can also improve responsiveness."
"How do I uninstall eSim if I face repeated issues?","On Linux, if installed via a `.deb` package, you can uninstall using `sudo apt remove esim`. If installed manually, delete the eSim directory and associated configuration files. For Windows and macOS, use the standard uninstall methods or run the provided uninstaller if available. Always back up projects before uninstalling."
"Can I use eSim offline after installation?","Yes, once installed, eSim works fully offline. All core features like schematic design, simulation, netlist generation, and waveform viewing are available without an internet connection. However, for documentation or community support, you may need internet access occasionally."
"How do I add custom component models to eSim?","To add custom components, place your SPICE model files (.lib or .mod) in the eSim library directory, typically located in the installation folder under 'library/deviceModelLibrary'. Then update the component library in KiCad by editing the symbol libraries and associating your custom symbols with the SPICE models. Restart eSim to recognize new components."
"Why is my simulation taking too long to complete?","Long simulation times can result from small time steps, large simulation duration, or complex circuits with many nodes. Try increasing the time step in simulation parameters, reducing the total simulation time, or simplifying your circuit. For transient analysis, consider using appropriate initial conditions to speed up convergence."
"How do I export simulation results from eSim?","Simulation results can be exported from the waveform viewer by right-clicking on the plot and selecting export options. You can save waveforms as CSV files, images (PNG/SVG), or copy data to clipboard. For batch processing, results are also saved automatically in the project directory as text files."
"What should I do if components are missing from the eSim library?","If required components are missing, you can download additional SPICE models from component manufacturers or online databases. Place these models in the appropriate library folders and create corresponding symbols in KiCad. Alternatively, you can use equivalent components or create subcircuit models using basic elements."
"How do I perform AC analysis in eSim?","For AC analysis, ensure your circuit has an AC voltage source. In the simulation setup, select 'AC Analysis' and specify the frequency range (start, stop) and type (decade, linear, or octave). Set the number of points per decade/octave. After running simulation, view frequency response plots in the waveform viewer to analyze gain, phase, and other AC characteristics."
"Can I simulate digital circuits in eSim?","Yes, eSim supports mixed-signal simulation through Ngspice. You can use digital components from the library or create digital subcircuits. For pure digital simulation, consider using behavioral models or Verilog-A models. Mixed analog-digital circuits require proper interfacing between analog and digital domains using appropriate bridge elements."
